,precision,recall,f1-score,support
positive,0.6668041237113402,0.791095890410959,0.7236518236742,2044.0
neutral,0.026535253980288095,0.3431372549019608,0.04926108374384237,102.0
negative,0.7518939393939394,0.4800483675937122,0.5859778597785977,1654.0
micro avg,0.5095833333333334,0.6436842105263157,0.5688372093023256,3800.0
macro avg,0.4817444390285226,0.538093837635544,0.45296358906554673,3800.0
weighted avg,0.6866544211919854,0.6436842105263157,0.6456253521594045,3800.0
